dataset,protocol,model,feature_selector,pipeline_id,n_evaluations,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std
ecg,group_holdout,decision_tree,none,decision_tree+none,2,0.13839975285758416,0.010194624652455977,0.1391181472589036,0.0091811724689876,0.12221894381009388,0.006493078996083153,0.12117036312928528,0.007875449479761716
ecg,group_holdout,gaussian_nb,none,gaussian_nb+none,2,0.15523632993512512,0.0013901760889712678,0.15494364412431638,0.0017456982793117443,0.13202374672121608,0.01193434180208982,0.13193327123776966,0.012008811232337976
ecg,group_holdout,knn,none,knn+none,2,0.18010503552672227,0.0006178560395427857,0.17895408163265308,0.0017715419501133922,0.1740001376495573,0.008277274922086297,0.17498456988473848,0.007369222161863864
ecg,group_holdout,logreg,none,logreg+none,2,0.12732983214910926,0.03331273813201524,0.1272575696945445,0.03351340536214485,0.1106081688408701,0.03424992094550941,0.11095110377316247,0.03386192147485071
ecg,group_holdout,mlp,none,mlp+none,2,0.15672948203068687,0.019977345278550093,0.15569144324396422,0.021179305055355466,0.14464851932016393,0.01678319871234034,0.14564873843793488,0.015862937843299063
ecg,group_holdout,rf,none,rf+none,2,0.19616929255483473,0.01668211306765524,0.19472705748966257,0.018198112578364692,0.1863238817172844,0.026190324748397553,0.18750282256617312,0.024971106842968008
ecg,group_holdout,svm,none,svm+none,2,0.18237050767171248,0.00566368036247554,0.18047719087635053,0.004513472055488882,0.16210446078664015,0.006432198024041283,0.16368936097833392,0.007462831310982118
ecg,loso,decision_tree,none,decision_tree+none,2,0.13283208020050125,0.010025062656641603,0.13676303854875282,0.006094104308390011,0.09257256970929739,0.007892118581477855,0.0901215408212879,0.010343147469487349
ecg,loso,gaussian_nb,none,gaussian_nb+none,2,0.14786967418546365,0.042606516290726815,0.14965986394557823,0.04081632653061224,0.0864129435558007,0.01562787277072992,0.08729352338374895,0.014747292942781667
ecg,loso,knn,none,knn+none,2,0.19172932330827067,0.0012531328320802004,0.19685374149659862,0.006377551020408143,0.1733892401594265,0.005741153256681203,0.17233305178712174,0.006797341628985959
ecg,loso,logreg,none,logreg+none,2,0.1733500417710944,0.032999164578111945,0.17517006802721086,0.031179138321995467,0.11802074754415282,0.027269676317699602,0.11760941928008577,0.027681004581766686
ecg,loso,mlp,none,mlp+none,2,0.16541353383458646,0.02506265664160401,0.16751700680272108,0.0229591836734694,0.13192618784724047,0.004761685682738312,0.13208515476521016,0.004920652600707995
ecg,loso,rf,none,rf+none,2,0.19256474519632413,0.01796157059314954,0.2013888888888889,0.026785714285714288,0.1800978507344967,0.010982204475993268,0.17515872151047046,0.006043075251967053
ecg,loso,svm,none,svm+none,2,0.12573099415204678,0.014619883040935672,0.13109410430839002,0.019982993197278927,0.09405139833711262,0.011662887377173095,0.09124438079325296,0.008855869833313448
ecg,within_participant,decision_tree,none,decision_tree+none,10,0.15897435897435896,0.06325075068484108,0.15,0.06738557951469003,0.13535147392290248,0.06922330563812697,0.14619047619047618,0.07572800867403659
ecg,within_participant,gaussian_nb,none,gaussian_nb+none,10,0.2128205128205128,0.09601699663257837,0.21428571428571427,0.08451542547285167,0.1563718820861678,0.07876332937599145,0.16282356532356532,0.09136808761670881
ecg,within_participant,knn,none,knn+none,10,0.20705128205128207,0.06404163771287197,0.21428571428571427,0.08451542547285167,0.17493197278911565,0.05376475213700991,0.17696581196581196,0.05927896199453211
ecg,within_participant,logreg,none,logreg+none,10,0.2128205128205128,0.10199360565742976,0.19999999999999998,0.09476070829586856,0.16236961451247164,0.08478522107540234,0.17426739926739926,0.09243779734297998
ecg,within_participant,mlp,none,mlp+none,10,0.16602564102564102,0.07163730420009676,0.16428571428571428,0.07857142857142857,0.126734693877551,0.0685098862693304,0.1331929181929182,0.07239468553960832
ecg,within_participant,rf,none,rf+none,10,0.2230769230769231,0.07234223579315838,0.21428571428571427,0.06388765649999399,0.1803061224489796,0.062220628330537,0.19460317460317458,0.07481538993150169
ecg,within_participant,svm,none,svm+none,10,0.1814102564102564,0.09831126687186646,0.19285714285714284,0.12392393980641052,0.127312925170068,0.07137867547849287,0.1282997557997558,0.06736642902409393
eeg,group_holdout,decision_tree,none,decision_tree+none,2,0.14972711358253527,0.02121305735763568,0.14983159930638923,0.021713685474189684,0.14232957887780606,0.0323458726981732,0.14307602756435356,0.03261908848643967
eeg,group_holdout,gaussian_nb,none,gaussian_nb+none,2,0.15976727422510556,0.011172896715065397,0.15915532879818595,0.011082766439909297,0.10768800530120204,0.00328659635662943,0.10705729279612194,0.0029033729059038463
eeg,group_holdout,knn,none,knn+none,2,0.19091751621872105,0.014210688909484084,0.19141156462585035,0.015334467120181411,0.18228070317234651,0.01184107366832439,0.1818483558653583,0.010994487349693355
eeg,group_holdout,logreg,none,logreg+none,2,0.16352589846565752,0.0011327360724951024,0.16283346672002136,0.002586034413765495,0.13828697082999453,0.007674171202576088,0.1393506447805068,0.009146259549730848
eeg,group_holdout,mlp,none,mlp+none,2,0.1806199155596746,0.015961281021521986,0.1814775910364146,0.016398225957049484,0.1673661396964703,0.024927354399323642,0.1672770931091571,0.024797004216852075
eeg,group_holdout,rf,none,rf+none,2,0.15647204201421067,0.028266913809082486,0.15611744697879154,0.027896158463385348,0.13731069649350006,0.022723043250384607,0.1373010680821635,0.02328545406654948
eeg,group_holdout,svm,none,svm+none,2,0.17861188343116052,0.01796931315003604,0.17684740562891824,0.015963051887421642,0.14552513357125463,0.014562272654055824,0.1472155285749287,0.01635163264345653
eeg,loso,decision_tree,none,decision_tree+none,2,0.15914786967418545,0.016290726817042606,0.16184807256235828,0.018990929705215417,0.11988917918137518,0.006409325701521716,0.11900170408337377,0.007296800799523127
eeg,loso,gaussian_nb,none,gaussian_nb+none,2,0.19256474519632413,0.01796157059314954,0.19827097505668934,0.02366780045351473,0.1117701174475419,0.027752602395544078,0.10703746201032184,0.02301994695832403
eeg,loso,knn,none,knn+none,2,0.17669172932330826,0.03383458646616541,0.18452380952380953,0.041666666666666685,0.14914994779656432,0.04493416358078011,0.14373879121801558,0.03952300700223135
eeg,loso,logreg,none,logreg+none,2,0.15914786967418545,0.016290726817042606,0.15759637188208614,0.014739229024943304,0.09811625685989013,0.01659359469206667,0.0983056642515136,0.016783002083690136
eeg,loso,mlp,none,mlp+none,2,0.24101921470342522,0.012949039264828738,0.24844104308390025,0.0055272108843537615,0.19771598857371098,0.014668876955170801,0.18995272705105096,0.022432138477830793
eeg,loso,rf,none,rf+none,2,0.20927318295739347,0.018796992481203006,0.2142857142857143,0.023809523809523794,0.10409775979357261,0.007381832043162097,0.10228966813585688,0.005573740385446377
eeg,loso,svm,none,svm+none,2,0.17502088554720133,0.0004177109440267335,0.18480725623582767,0.010204081632653059,0.13865649854021947,0.037101077217356275,0.12983140550460012,0.028275984181736935
eeg,within_participant,decision_tree,none,decision_tree+none,10,0.23525641025641025,0.118582813380318,0.22857142857142856,0.11428571428571428,0.20789115646258502,0.11870434473367639,0.21717338217338217,0.12819094069414244
eeg,within_participant,gaussian_nb,none,gaussian_nb+none,10,0.2705128205128205,0.09424603051020054,0.25,0.0917516612761795,0.2179591836734694,0.10149477483725515,0.23498168498168498,0.105272470745894
eeg,within_participant,knn,none,knn+none,10,0.2762820512820513,0.07587155223919402,0.2571428571428571,0.06546536707079773,0.21009276437847865,0.06310932650932895,0.22867132867132867,0.07027654483167245
eeg,within_participant,logreg,none,logreg+none,10,0.28397435897435896,0.06480702655063961,0.2714285714285714,0.0769309258162072,0.226859410430839,0.07558096365922437,0.24339438339438338,0.07819344537233658
eeg,within_participant,mlp,none,mlp+none,10,0.32243589743589746,0.1133745864123943,0.3071428571428571,0.1153963887243108,0.27741496598639453,0.11683059029878157,0.29745421245421244,0.1202986210823051
eeg,within_participant,rf,none,rf+none,10,0.3096153846153846,0.14114359868715834,0.2785714285714286,0.12555997022319249,0.24292517006802722,0.13999413261274793,0.27050061050061047,0.15896254661471074
eeg,within_participant,svm,none,svm+none,10,0.2935897435897436,0.08670686368672266,0.2857142857142857,0.09035079029052513,0.24999999999999997,0.1038106159837697,0.2625213675213675,0.10180022698996939
fused,group_holdout,decision_tree,none,decision_tree+none,2,0.16771849301969782,0.008988334289539116,0.1678004535147392,0.009070294784580504,0.15954104200377645,0.013243325938618516,0.15960104714028164,0.013303331075123714
fused,group_holdout,gaussian_nb,none,gaussian_nb+none,2,0.12966150315547906,0.013195639701663792,0.12908163265306122,0.013775510204081624,0.038106524616058846,0.001632360482320249,0.038214241252210124,0.0017400771184715239
fused,group_holdout,knn,none,knn+none,2,0.1776630330847198,0.003059858481545233,0.1773809523809524,0.002777777777777768,0.17266978046997322,0.002361900945503842,0.17299776133188066,0.0026898818074112957
fused,group_holdout,logreg,none,logreg+none,2,0.1436699177663033,0.007123733027347479,0.14404761904761904,0.006746031746031736,0.06456953273098504,0.013057774612284027,0.06450338642018118,0.01299162830148018
fused,group_holdout,mlp,none,mlp+none,2,0.17173455727672593,0.013004398546567222,0.1717120181405896,0.01298185941043084,0.16560130060537892,0.01406530035855176,0.16577539897876148,0.014239398731934264
fused,group_holdout,rf,none,rf+none,2,0.21748900363358192,0.012669726525148209,0.2173469387755102,0.012811791383219931,0.1907437023343089,0.0026507228844589448,0.19094152374536477,0.00245290147340306
fused,group_holdout,svm,none,svm+none,2,0.17374258940524,0.015012430675081276,0.17380952380952383,0.015079365079365081,0.15276351700382984,0.007333255941204653,0.15271617167256274,0.007285910609937538
fused,loso,decision_tree,none,decision_tree+none,2,0.15937019969278032,0.07872503840245776,0.15873015873015875,0.07936507936507936,0.14737137442798656,0.07446443387398718,0.14795933362600266,0.07387647467597104
fused,loso,gaussian_nb,none,gaussian_nb+none,2,0.14400921658986177,0.001152073732718903,0.14285714285714285,0.0,0.03596579476861167,0.0002515090543259574,0.036257869799441816,0.0005435840851561007
fused,loso,knn,none,knn+none,2,0.1603942652329749,0.049283154121863806,0.1607142857142857,0.049603174603174614,0.15037438052143934,0.043312324929971995,0.15014425538619086,0.043082199794723504
fused,loso,logreg,none,logreg+none,2,0.10432667690732207,0.04083461341525858,0.10317460317460317,0.03968253968253968,0.028133714568110417,0.00808358925482721,0.02842578959894056,0.008375664285657353
fused,loso,mlp,none,mlp+none,2,0.1757552483358935,0.03059395801331284,0.1746031746031746,0.031746031746031744,0.15394620090599168,0.037353476859851485,0.1548864648095896,0.036413212956253584
fused,loso,rf,none,rf+none,2,0.20750128008192525,0.062339989759344586,0.20634920634920634,0.06349206349206349,0.1295416717411602,0.06784394917387244,0.13003923401992867,0.067346386895104
fused,loso,svm,none,svm+none,2,0.14349718381976445,0.06285202252944189,0.14285714285714285,0.06349206349206349,0.12444341372912801,0.06730055658627085,0.12490424322221556,0.0668397270931833
fused,within_participant,decision_tree,none,decision_tree+none,10,0.2621794871794872,0.07400723617266869,0.2571428571428571,0.07953949089757174,0.2369047619047619,0.09220927838568178,0.2474145299145299,0.09950854700854701
fused,within_participant,gaussian_nb,none,gaussian_nb+none,10,0.13653846153846155,0.07991253025515913,0.17142857142857143,0.07953949089757174,0.08838653410081981,0.07803760906223713,0.0836029711029711,0.08340267261758343
fused,within_participant,knn,none,knn+none,10,0.16153846153846155,0.10263619261346377,0.16428571428571428,0.11539638872431081,0.14265306122448979,0.09136540679285969,0.15219780219780218,0.09694016912544759
fused,within_participant,logreg,none,logreg+none,10,0.2980769230769231,0.09526296695521191,0.3,0.10497813183356478,0.2571428571428571,0.0799659791606984,0.26416666666666666,0.08121378866249652
fused,within_participant,mlp,none,mlp+none,10,0.19294871794871796,0.11550741328873586,0.20714285714285713,0.13720980508784675,0.16578231292517007,0.11997088051212566,0.16214590964590964,0.1072527330483904
fused,within_participant,rf,none,rf+none,10,0.20897435897435898,0.11298065557368352,0.20714285714285713,0.09819805060619656,0.17812925170068028,0.09573413701281101,0.18921398046398047,0.1113531349299077
fused,within_participant,svm,none,svm+none,10,0.1858974358974359,0.11909973499993427,0.21428571428571427,0.12371791482634838,0.12993982208267923,0.12172148628285034,0.11974969474969474,0.12552591519997777
pupil,group_holdout,decision_tree,none,decision_tree+none,2,0.2255689424364123,0.0033467202141900937,0.2259637188208617,0.0037414965986394544,0.21537514005934835,0.008828563161070224,0.21516433699357865,0.00861776009530052
pupil,group_holdout,gaussian_nb,none,gaussian_nb+none,2,0.12966150315547906,0.013195639701663792,0.12908163265306122,0.013775510204081624,0.038106524616058846,0.001632360482320249,0.038214241252210124,0.0017400771184715239
pupil,group_holdout,knn,none,knn+none,2,0.1539491298527443,0.042838018741633205,0.1536281179138322,0.04251700680272109,0.13142486262426292,0.05712534571605036,0.13167499488203593,0.057375477973823384
pupil,group_holdout,logreg,none,logreg+none,2,0.12368521705871102,0.011235417861923884,0.12335600907029479,0.011564625850340127,0.06547988758147877,0.013870865025087782,0.06546633342810954,0.013857310871718556
pupil,group_holdout,mlp,none,mlp+none,2,0.2075922738573341,0.0012430675081277487,0.20753968253968252,0.0011904761904761724,0.1444222302482463,0.01564626569926439,0.14461791426644569,0.015841949717463777
pupil,group_holdout,rf,none,rf+none,2,0.19162363740676994,0.001147446930579471,0.19155328798185942,0.0010770975056689502,0.1825932906614504,0.008029835503366084,0.1826282508466663,0.00799487531815013
pupil,group_holdout,svm,none,svm+none,2,0.19559189137502392,0.002820807037674497,0.19574829931972787,0.002664399092970532,0.15778193953370123,0.017729804143478814,0.1576422744647402,0.017590139074517758
pupil,loso,decision_tree,none,decision_tree+none,2,0.19969278033794163,0.03840245775729646,0.2003968253968254,0.0376984126984127,0.18244654676985503,0.03240606093989551,0.1823662281071934,0.032486379602557125
pupil,loso,gaussian_nb,none,gaussian_nb+none,2,0.14400921658986177,0.001152073732718903,0.14285714285714285,0.0,0.03596579476861167,0.0002515090543259574,0.036257869799441816,0.0005435840851561007
pupil,loso,knn,none,knn+none,2,0.1515616999487967,0.05478750640040962,0.15079365079365079,0.055555555555555546,0.12012736686553582,0.039476187474860626,0.1207777796025574,0.038825774737839054
pupil,loso,logreg,none,logreg+none,2,0.10432667690732207,0.04083461341525858,0.10317460317460317,0.03968253968253968,0.028133714568110417,0.00808358925482721,0.02842578959894056,0.008375664285657353
pupil,loso,mlp,none,mlp+none,2,0.18394777265745008,0.00652841781874039,0.18253968253968256,0.007936507936507936,0.112457881703406,0.003727722973247277,0.11333473782219759,0.0028508668544556665
pupil,loso,rf,none,rf+none,2,0.16781874039938555,0.022657450076804905,0.16666666666666669,0.023809523809523822,0.07077566658847446,0.03404097271092345,0.07107191411974505,0.03374472517965288
pupil,loso,svm,none,svm+none,2,0.1758832565284178,0.014592933947772654,0.1746031746031746,0.015873015873015858,0.09382643830938073,0.029472881418510406,0.09434541860688775,0.0289539011210034
pupil,within_participant,decision_tree,none,decision_tree+none,10,0.30641025641025643,0.10041007307282704,0.3071428571428571,0.11973610438743007,0.2614965986394558,0.09828893855688767,0.2716819291819292,0.09208056673478837
pupil,within_participant,gaussian_nb,none,gaussian_nb+none,10,0.13653846153846155,0.07991253025515913,0.17857142857142858,0.0917516612761795,0.09088260945403802,0.08238199608823656,0.08107244607244607,0.07820373006203621
pupil,within_participant,knn,none,knn+none,10,0.275,0.12647713682993028,0.29285714285714287,0.14794510840862843,0.23800453514739225,0.13478685606463306,0.23997252747252745,0.13423629495000886
pupil,within_participant,logreg,none,logreg+none,10,0.19230769230769232,0.13649481666711313,0.19285714285714284,0.15336364681131348,0.1414172335600907,0.12767193110214686,0.1452971102971103,0.12371419362278727
pupil,within_participant,mlp,none,mlp+none,10,0.29615384615384616,0.08292800835280119,0.30714285714285716,0.11088696211614303,0.2399092970521542,0.0971156043252178,0.2428154253154253,0.08977694309523447
pupil,within_participant,rf,none,rf+none,10,0.3384615384615385,0.11300247563805287,0.35714285714285715,0.11517511068997928,0.3001360544217687,0.10977821469187644,0.29853479853479853,0.10830621177302707
pupil,within_participant,svm,none,svm+none,10,0.3038461538461538,0.07607437794434255,0.3214285714285714,0.07319250547113999,0.23168934240362812,0.06065098931952841,0.22709401709401708,0.06883739720442875
